x,y,diff_aff
16.5,-147.75,0.002560320007953143
17.25,-147.75,0.004642698931997424
18.0,-147.75,0.008826214085785322
18.75,-147.75,0.011300925270881335
19.5,-147.75,0.016287071693547706
20.25,-147.75,0.022024772956915406
21.0,-147.75,0.02531432806881173
21.75,-147.75,0.03237609583862877
22.5,-147.75,-0.018249624725805713
23.25,-147.75,-0.013632175807272828
24.0,-147.75,-0.008360839786986762
24.75,-147.75,-0.0022746598399003837
25.5,-147.75,0.0048979786762524125
-29.25,-147.0,-0.008692813238645902
-28.5,-147.0,-0.020523139879593533
-27.75,-147.0,-0.02831948609280288
-27.0,-147.0,-0.03427488861953831
-26.25,-147.0,0.042736645835316
-25.5,-147.0,0.027932067391923443
-24.75,-147.0,0.01693029962210657
-24.0,-147.0,0.013670923914906652
-23.25,-147.0,0.005313342254669617
-22.5,-147.0,0.002637435038264746
-21.75,-147.0,-0.003947036940569415
-21.0,-147.0,-0.009480312888095588
-20.25,-147.0,-0.011532512407443463
-19.5,-147.0,-0.01610369530017919
-18.75,-147.0,0.028636018830566323
-18.0,-147.0,0.02291651038166287
-17.25,-147.0,0.021417599948413635
-16.5,-147.0,0.016559347332383956
-15.75,-147.0,0.012331752533573992
-15.0,-147.0,0.011154755750418577
-14.25,-147.0,0.007548297181352082
-13.5,-147.0,0.006532257223243576
-12.75,-147.0,0.0034366956776581414
-12.0,-147.0,0.0007114929414657745
-11.25,-147.0,-8.32313822034525e-05
-10.5,-147.0,-0.0023875370949144603
-9.75,-147.0,-0.00305148399823274
-9.0,-147.0,-0.005005131893724313
-8.25,-147.0,-0.006688420979822807
-7.5,-147.0,-0.007191411058094399
-6.75,-147.0,-0.008574042326973563
-6.0,-147.0,-0.009726374588025388
-5.25,-147.0,-0.010068407841250071
-4.5,-147.0,0.025389857913352465
-3.75,-147.0,0.024358362874216555
-3.0,-147.0,0.023617166842907933
-2.25,-147.0,0.023456210017861245
-1.5,-147.0,0.023025552200641286
-0.75,-147.0,0.022965193391248695
0.0,-147.0,0.022845073788117842
0.75,-147.0,0.02299519339124867
1.5,-147.0,0.02305555220064126
2.25,-147.0,0.02350621001786113
3.0,-147.0,0.023667166842907816
3.75,-147.0,0.024438362874216635
4.5,-147.0,0.025489857913352454
5.25,-147.0,-0.009988407841250213
6.0,-147.0,-0.00964637458802553
6.75,-147.0,-0.008474042326973574
7.5,-147.0,-0.007081411058094567
8.25,-147.0,-0.006578420979822974
9.0,-147.0,-0.004865131893724284
9.75,-147.0,-0.0028914839982328022
10.5,-147.0,-0.0022275370949145223
11.25,-147.0,0.00010676861779645996
12.0,-147.0,0.0009014929414656869
12.75,-147.0,0.003666695677658316
13.5,-147.0,0.0068022572232435685
14.25,-147.0,0.007818297181352074
15.0,-147.0,0.011474755750418675
15.75,-147.0,0.01265175253357409
16.5,-147.0,0.016939347332384003
17.25,-147.0,0.021867599948413696
18.0,-147.0,0.02336651038166293
18.75,-147.0,0.029176018830566308
19.5,-147.0,-0.015803695300179
20.25,-147.0,-0.011162512407443481
21.0,-147.0,-0.009110312888095606
21.75,-147.0,-0.0034770369405694446
22.5,-147.0,0.003257435038264811
23.25,-147.0,0.005933342254669682
24.0,-147.0,0.014510923914906604
24.75,-147.0,0.017770299622106522
25.5,-147.0,0.029162067391923507
26.25,-147.0,0.04471664583531587
27.0,-147.0,-0.03427488861953831
27.75,-147.0,-0.02831948609280288
28.5,-147.0,-0.020523139879593533
29.25,-147.0,-0.008692813238645902
-33.0,-146.25,-0.02069205882363745
-32.25,-146.25,-0.06663029287719557
-31.5,-146.25,0.00024726792979423706
-30.75,-146.25,-0.2808406249882687
-30.0,-146.25,0.03160724478577137
-29.25,-146.25,0.010480459108356488
-28.5,-146.25,0.027682719785244725
-27.75,-146.25,0.0021835642544345557
-27.0,-146.25,-0.01176735904619286
-26.25,-146.25,-0.01035898682703218
-25.5,-146.25,-0.020626594764415307
-24.75,-146.25,-0.028097372184765712
-24.0,-146.25,0.030230355355747918
-23.25,-146.25,0.029717305475910782
-22.5,-146.25,0.01964341837415806
-21.75,-146.25,0.011418694050488787
-21.0,-146.25,0.010613909925254239
-20.25,-146.25,0.0038291856015852943
-19.5,-146.25,0.0030847602857433376
-18.75,-146.25,-0.0025996650300987856
-18.0,-146.25,-0.007433910941244459
